"Portland, Oregon Daily Bike Estimates, 2000-2018 (based on 2-hour peak counts)",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
southwest,81,SW Capitol & Sunset,430,575,510,640,780,505,520,680,625,615,655,585,400,-,-,370,-,-,330,390
southwest,82,SW Capitol Hwy & Vermont,375,265,255,350,380,305,510,330,345,295,335,225,225,-,-,-,-,-,-,-
city center,83,SW Waterfront Park & Harbor Way,"2,030","2,280","2,115","3,145","2,900","2,675","2,385","2,205","2,210",-,"1,960","1,450",955,"1,020",-,-,-,-,-,815
city center,84,SW Jefferson & 13th,565,640,675,660,610,620,635,825,650,770,495,590,385,-,-,-,-,-,335,230
southwest,85,SW Kingston & Rose Garden,335,355,-,355,380,245,-,360,-,-,380,-,-,-,-,-,-,-,-,-
southwest,86,SW Willamette Greenway & Miles,"1,095",625,415,235,265,225,310,360,370,275,225,225,-,-,-,-,-,-,-,-
southwest,87,SW Moody & Gibbs,"3,650","3,675","3,775","2,345","2,575","2,510","1,890","1,755","1,740","1,425","1,585","1,360",580,-,-,-,-,-,-,440
southwest,88,SW Multnomah & 45th,270,345,425,490,315,320,405,350,365,325,-,240,295,-,-,-,-,-,160,210
city center,89,SW Moody & River Parkway,355,400,445,610,"2,255","2,230","2,005","1,860","1,655","1,290","1,700",-,720,-,-,-,955,-,-,-
southwest,90,SW Terwilliger & 2nd,180,150,-,230,355,170,300,330,285,260,370,-,-,-,-,-,-,-,-,-
southwest,91,SW Terwilliger & Campus Drive,775,685,720,"1,005",875,985,"1,005","1,180","1,145",945,945,950,930,-,-,-,-,-,-,-
southwest,92,SW Capitol Hwy & Terwilliger,655,520,685,795,665,795,810,795,825,750,515,565,-,-,-,-,-,-,-,-
city center,93,SW Waterfront Park & Ankeny,,"2,170","3,270","3,600","3,890","3,995","3,445","2,985","3,365","2,510","2,650","2,200","2,100",-,-,-,-,875,-,810
city center,94,SW Waterfront Park & Morrison,"1,590","2,390","2,850","3,680","4,045","3,610","3,035","3,460","3,835","3,390","2,995","2,680","2,200",-,-,-,"1,490",715,-,"1,215"
northeast,95,NE Couch & 41st,920,"1,185","1,470","1,255","1,395","1,050","1,275","1,020",525,-,-,570,-,-,-,-,-,-,-,-
northwest,96,NW Overton & 18th,"1,100","1,030",940,"1,000",975,-,955,-,775,695,555,375,-,-,-,-,-,-,-,-
north,97,N Interstate/Lloyd/Oregon,"4,890","5,620","5,795","4,820","5,055","5,140","4,785","4,105","4,510",-,"3,525",-,-,-,-,-,-,-,-,-
northeast,98,NE Skidmore & 9th,335,,415,310,325,320,365,-,535,460,695,455,-,-,-,-,-,-,-,-
southeast,99,SE Duke & 72nd,140,230,175,185,310,175,260,275,-,-,-,-,-,-,-,-,-,-,-,-
southeast,100,SE Ankeny & 28th,"2,070","2,463","2,505","2,400","2,715","2,555","2,250","2,815","2,780","2,410","2,605","1,705",-,-,-,-,-,-,-,-
southeast,101,SE Salmon & 34th,"1,670","1,690","1,875","1,870","1,955","1,860","2,035","2,130","2,280","2,115","2,400","1,465",-,-,-,-,-,-,-,-
north,102,N Going & Greeley,,580,745,765,740,680,865,585,595,-,520,460,-,-,-,-,-,-,-,-
north,103,N Port Center Wy & Cement Rd,,,-,-,-,15,15,45,20,35,30,45,-,-,-,-,-,-,-,-
northwest,104,NW Naito & 9th,"1,550","1,545","1,590","1,670","1,405","1,725","1,230","1,475","1,715",980,"1,185",770,-,-,-,-,-,-,-,-
southwest,105,SW Bond & Curry,745,680,855,740,575,630,610,445,540,430,-,405,-,-,-,-,-,-,-,-
northeast,106,NE Irving & 21st,750,600,605,580,575,485,510,465,455,460,-,435,-,-,-,-,-,-,-,-
northeast,107,NE Davis & 41st,"1,310","1,370","1,415","1,315","1,345","1,100","1,070",-,950,915,875,615,-,-,-,-,-,-,-,-
southeast,108,SE Clay & Water,"1,225","1,375",980,"1,610","3,215","2,915","1,895",-,765,655,-,-,-,-,-,-,-,-,-,-
southeast,109,SE Clay & 7th,975,"1,055","1,095",960,"1,105",905,"1,180","1,075","1,095",905,"1,025",-,-,-,-,-,-,-,-,-
southeast,110,SE Clay & 12th,"1,000",930,950,980,"1,285","1,345","1,210","1,470","1,340","1,100","1,235",965,-,-,-,-,-,-,-,-
southwest,111,SW Barbur & Capitol Hwy,130,160,105,130,220,90,290,290,275,150,230,-,-,-,-,-,-,-,-,-
southwest,112,SW Hamilton & 45th,35,25,25,35,40,35,50,45,30,80,50,-,-,-,-,-,-,-,-,-
southwest,113,SW Taylors Ferry & Terwilliger,335,535,400,335,430,425,555,415,430,275,580,-,-,-,-,-,-,-,-,-
southwest,114,SW Palantine & Riverview Cemetary,380,340,465,420,390,-,485,475,560,420,-,-,-,-,-,-,-,-,-,-
southwest,115,SW Barbur & Terwilliger,440,595,675,705,820,770,775,950,"1,020",895,-,-,570,-,-,350,-,175,-,-
southwest,116,SW Bertha & Vermont,50,180,145,155,90,150,180,350,245,175,135,-,-,-,-,-,-,-,-,-
southwest,117,SW Corbett & Nebraska,55,105,85,70,75,70,110,105,115,-,110,-,-,-,-,-,-,-,-,-
southwest,118,SW Arthur & 1st,250,235,330,350,380,445,410,440,415,315,485,-,-,-,-,-,-,-,-,-
city center,119,SW Broadway & Mill,350,640,615,635,640,710,740,780,620,750,735,-,-,-,-,-,-,-,-,-
southwest,120,SW 18th & Trail south of Sunset Hwy,105,120,165,195,100,130,215,75,175,-,-,-,-,-,-,-,-,-,-,-
southwest,121,SW Vista & Montgomery,165,170,115,150,120,185,145,150,120,85,-,-,-,-,-,-,-,-,-,-
northwest,122,NW Thurman & 24th,425,355,420,455,560,575,490,515,635,680,660,-,-,-,-,-,-,-,-,-
northwest,123,NW Lovejoy & 9th,"1,925","2,005","2,790","2,975","3,045","2,525","2,090","2,160","1,530","2,095","2,325",-,-,-,-,-,-,-,-,-
north,124,N Willis & Woolsey,205,185,275,200,195,155,255,-,-,-,155,-,-,-,-,-,-,-,-,-
north,125,N Bryant & Missouri,195,245,280,225,200,365,265,250,-,-,190,-,-,-,-,-,-,-,-,-
north,126,N Union Path & I-5,,,500,-,-,480,460,435,425,450,435,-,-,-,-,-,-,-,-,-
north,127,N Failing & Missouri,220,275,145,205,205,185,210,295,210,175,200,-,-,-,-,-,-,-,-,-
northeast,128,NE Multnomah & Wheeler,"3,500","3,800","4,040","3,260","3,170","3,220","2,770","2,785","2,815","1,730","1,190",-,-,-,-,-,-,-,-,-
northeast,129,NE Going & 9th,"1,965","2,085","2,095","1,910","1,990","1,835","1,720","1,585","1,040",490,515,-,-,-,-,-,-,-,-,-
